 GamesPlayed, GamesWon, GamesLeft, Ditches, Points, Kills, KillsPerMin, Deaths, Assists, CreepsKilled, CreepsDenied, NeutralsKilled, TowersDestroyed, RaxsDestroyed, TotalTime, SkillLevel,Gender
0.001267829,0.00170068,0,0,0.266109008,0.001179345,0.30952381,0.001883683,0.001686537,0.001101112,0.000819859,0.002703963,0.001922338,0.002629273,0.002690301,0,F
0.059904913,0.061791383,0.175,0.055555556,0.398374877,0.062041951,0.476190476,0.052684248,0.062140157,0.034566847,0.018833979,0.075664336,0.067281815,0.042944785,0.102020206,1,F
0.0022187,0.003401361,0,0,0.282081939,0.002906242,0.595238095,0.002590064,0.002646118,0.001084998,0.000774311,0.000722611,0.00153787,0.001752848,0.003500816,0,M
0.002852615,0.003401361,0,0.111111111,0.269742801,0.002400809,0.380952381,0.002884389,0.001744693,0.002787692,0.002345707,0.001981352,0.002691273,0.005258545,0.004590817,1,F
0.024405705,0.037981859,0,0,0.352531403,0.025229551,0.476190476,0.014775135,0.025065426,0.018356336,0.021248007,0.043379953,0.042675894,0.026292726,0.04226575,1,M
0.003486529,0.003968254,0.05,0,0.336708103,0.003116839,0.452380952,0.003060984,0.002268101,0.002892432,0.002345707,0.001771562,0.003460208,0.003505697,0.005247613,1,M
0.037083994,0.034013605,0.025,0.111111111,0.269742801,0.01760593,0.214285714,0.04715093,0.03169526,0.013229453,0.014438624,0.020815851,0.016916571,0.015775635,0.063520785,1,M
0.000950872,0.000566893,0.025,0,0.193903006,0.001179345,0.452380952,0.000941841,0.000756034,0.000770778,0.000819859,4.66E-05,0.000384468,0.000876424,0.001726069,0,M
0,0,0,0,0.253596385,0,0,0.000529786,0.00031986,7.25E-05,9.11E-05,0.00016317,0,0,0.000200998,0,M
0.001901743,0.00170068,0,0,0.266209485,0.001305703,0.261904762,0.002825524,0.001773771,0.000897003,0.001343657,0.001025641,0.000768935,0.000876424,0.003640559,0,F
0.022187005,0.022108844,0.025,0,0.329168724,0.021859995,0.428571429,0.029550271,0.019831346,0.018670555,0.019221134,0.028298368,0.026912726,0.018404908,0.039959977,1,M
0.009191759,0.007369615,0,0,0.27049457,0.00922416,0.404761905,0.009595008,0.006746147,0.008857234,0.00655887,0.013216783,0.014609765,0.01665206,0.017586992,1,M
0,0,0,0,0.268980912,0.000168478,0.261904762,0.000470921,0,7.79E-05,0.000387156,0.00025641,0,0,0.00019471,0,M
0.057369255,0.052154195,0.025,0.055555556,0.308813122,0.045446887,0.333333333,0.073522486,0.059232335,0.037201458,0.022067866,0.038857809,0.033448674,0.032427695,0.104325979,1,M
